OM_SizeClass,SiteID,NumericDate,Watershed.x,Month,d15N,d13C,SampleID,dD,PerH,dD comments
FPOM,RB_KF_BA,140901,Red Butte,Sep,5.025,-27.23,22,-170.7,0.9,
FPOM,RB_TM,140901,Red Butte,Sep,4.34,-27.28,37,-148.5,2.7,
DOM,Ulake,141124,Jordan,Nov,submitted,submitted,174,-75.7,1,
DOM,7800,141124,Jordan,Nov,submitted,submitted,175,-106.7,0.9,
DOM,5400,141124,Jordan,Nov,submitted,submitted,176,-87.9,0.8,
DOM,3300,141124,Jordan,Nov,submitted,submitted,177,-103.6,0.9,
DOM,MillUp,141126,Jordan,Nov,submitted,submitted,178,-117.8,1.2,
DOM,MillDown,141126,Jordan,Nov,submitted,submitted,179,-127.6,0.5,
DOM,2300,141126,Jordan,Nov,submitted,submitted,180,-116.8,0.7,
DOM,1700,141126,Jordan,Nov,submitted,submitted,181,-103.6,0.9,
DOM,Cudahy,141126,Jordan,Nov,submitted,submitted,182,-99,0.8,
DOM,RB_KF_BA,141118,Red Butte,Nov,submitted,submitted,183,-158.6,1,
DOM,RB_TM,141118,Red Butte,Nov,submitted,submitted,184,-133.1,1,
DOM,RB_RBG_BA,141118,Red Butte,Nov,submitted,submitted,185,-150,1.2,
DOM,RB_ARBR_AA,141118,Red Butte,Nov,submitted,submitted,186,-117.7,1.1,
DOM,RB_CG_BA,141118,Red Butte,Nov,submitted,submitted,187,-133.9,1.2,
DOM,RB_FD_AA,141118,Red Butte,Nov,submitted,submitted,188,-139.8,1.2,
DOM,RB_1300E,141118,Red Butte,Nov,submitted,submitted,189,-156.1,1.1,
DOM,RB_900W_BA,141118,Red Butte,Nov,submitted,submitted,190,-88.1,1.1,
DOM,LR_Franklin_BA,141125,Logan,Nov,submitted,submitted,191,-193.1,0.6,
DOM,LR_TonyGrove_BA,141120,Logan,Nov,submitted,submitted,192,-193,0.6,
DOM,LR_Temple,141122,Logan,Nov,submitted,submitted,193,-193.9,0.6,
DOM,LR_WaterLab_AA,141120,Logan,Nov,submitted,submitted,194,-186.3,0.7,
DOM,LR_MainSt_BA,141120,Logan,Nov,submitted,submitted,195,-187.9,0.8,
DOM,LR_CanalGarff,141120,Logan,Nov,submitted,submitted,196,-189,0.7,
DOM,LR_HWY252,141202,Logan,Dec,submitted,submitted,197,-186.1,0.9,
DOM,LR_Mendon_AA,141202,Logan,Dec,submitted,submitted,198,-172,0.9,
DOM,PR_ST_BA,141112,Provo,Nov,submitted,submitted,199,-160.5,1.7,small peak/no material left
DOM,PR_LM_BA,141112,Provo,Nov,submitted,submitted,200,-132.1,0.9,
DOM,PR_SpringCreek,141112,Provo,Nov,submitted,submitted,201,-170.3,0.8,
DOM,PR_SnakeCreekRR,141112,Provo,Nov,submitted,submitted,202,-131.6,0.6,
DOM,PR_Vivian,141112,Provo,Nov,submitted,submitted,203,-148.9,0.8,
DOM,PR_CH_AA,141112,Provo,Nov,submitted,submitted,204,-151,0.8,
DOM,PR_CanyonView,141112,Provo,Nov,submitted,submitted,205,-156.9,0.6,
FPOM,LR_Franklin_BA,141125,Logan,Nov,submitted,submitted,38,,,no peak/no material left
FPOM,LR_Temple,141122,Logan,Nov,submitted,submitted,39,-200.9,0.6,small peak/no material left
FPOM,LR_HWY252,141202,Logan,Nov,submitted,submitted,42,-158,0.4,small peak/no material left
FPOM,LR_Mendon_AA,141202,Logan,Nov,submitted,submitted,43,-187.7,0.5,small peak/no material left
FPOM,LR_MainSt_BA,141120,Logan,Nov,submitted,submitted,44,,,no peak/no material left
FPOM,PR_LM_BA,141112,Provo,Nov,submitted,submitted,47,,,no peak/no material left
FPOM,PR_SpringCreek,141112,Provo,Nov,submitted,submitted,48,-181.9,1.5,
FPOM,PR_SnakeCreekRR,141112,Provo,Nov,submitted,submitted,49,-192.4,1.5,
FPOM,PR_Vivian,141112,Provo,Nov,submitted,submitted,50,-142.3,0.9,small peak/no material left
FPOM,PR_CanyonView,141112,Provo,Nov,submitted,submitted,51,-188.6,1.3,
FPOM,RB_KF_BA,141118,Red Butte,Nov,submitted,submitted,52,-160.2,2.9,small peak/no material left
FPOM,RB_TM,141118,Red Butte,Nov,submitted,submitted,53,-172.9,1.6,
FPOM,RB_ARBR_AA,141118,Red Butte,Nov,submitted,submitted,54,-170.8,1.3,
FPOM,RB_RBG_BA,141118,Red Butte,Nov,submitted,submitted,55,-168,1.2,small peak/no material left
FPOM,RB_CG_BA,141118,Red Butte,Nov,submitted,submitted,56,-132.8,0.8,small peak/no material left
FPOM,RB_900W_BA,141118,Red Butte,Nov,submitted,submitted,57,-151.4,1.4,small peak/no material left
FPOM,Cudahy,141126,Jordan,Nov,submitted,submitted,58,-130.5,1.1,
FPOM,Ulake,141124,Jordan,Nov,submitted,submitted,59,-170.7,0.8,
FPOM,7800,141124,Jordan,Nov,submitted,submitted,60,-161.8,0.7,
FPOM,5400,141124,Jordan,Nov,submitted,submitted,61,-162.5,1,
FPOM,3300,141124,Jordan,Nov,submitted,submitted,62,-154,0.9,
FPOM,2300,141126,Jordan,Nov,submitted,submitted,63,-150.9,1.4,
FPOM,MillDown,141126,Jordan,Nov,submitted,submitted,64,-140.4,3,small peak/no material left
FPOM,MillUp,141126,Jordan,Nov,submitted,submitted,65,-159.1,0.9,
FPOM,1700,141126,Jordan,Nov,submitted,submitted,66,-150.7,1.2,
