"","SiteID","NumericDate","Watershed","d15Nit","d18ONit","OM_SizeClass","Watershed.x","Month","d15N","d13C","SampleID","dD","PerH","dD.comments"
"39","LR_Mendon_AA",141202,"Logan",8.6,-2.41,"FPOM","Logan","Nov","submitted","submitted",43,-187.7,0.5,"small peak/no material left"
"58","PR_BJ_AA",140903,"Provo",2.64,-6.95,"FPOM","Provo","Sep","4.89","-28.17",15,-138.2,1.5,""
"61","PR_CanyonView",140903,"Provo",8.7,-4.16,"FPOM","Provo","Sep",NA,NA,21,-145,1.4,""
"64","PR_CH_AA",140903,"Provo",7.25,-2.78,"FPOM","Provo","Sep","4.88","-27.02",16,-185.9,1.9,""
"67","PR_LM_BA",140903,"Provo",5.94333333333333,-1.96,"FPOM","Provo","Sep","5.44","-25.77",17,-169.2,0.8,""
"71","PR_SnakeCreekRR",140903,"Provo",8.95,-4.5,"FPOM","Provo","Sep","6.995","-28.435",19,-149.6,1.1,""
"75","PR_SpringCreek",140903,"Provo",9.76,-3.08,"FPOM","Provo","Sep","4.62","-28.3",18,-180,1.2,""
"79","PR_ST_BA",140903,"Provo",1.78,0.89,"FPOM","Provo","Sep","2.75","-25.77",14,-136.4,1.6,""
"82","PR_Vivian",140903,"Provo",8.42,-4.83,"FPOM","Provo","Sep","9.71","-29.2",20,-168.1,1,""
"63","PR_CanyonView",141112,"Provo",6.07,-4.19,"FPOM","Provo","Nov","submitted","submitted",51,-188.6,1.3,""
"69","PR_LM_BA",141112,"Provo",7.95,0.36,"FPOM","Provo","Nov","submitted","submitted",47,NA,NA,"no peak/no material left"
"73","PR_SnakeCreekRR",141112,"Provo",9.68,-4.23,"FPOM","Provo","Nov","submitted","submitted",49,-192.4,1.5,""
"78","PR_SpringCreek",141112,"Provo",9.51,-2.75,"FPOM","Provo","Nov","submitted","submitted",48,-181.9,1.5,""
"85","PR_Vivian",141112,"Provo",5.83,-3.98,"FPOM","Provo","Nov","submitted","submitted",50,-142.3,0.9,"small peak/no material left"
"86","RB_1300E",140901,"Red Butte",6.65,-4.76,"FPOM","Red Butte","Sep",NA,NA,26,-153,0.2,""
"90","RB_900W_BA",140901,"Red Butte",9.62,-0.63,"FPOM","Red Butte","Sep",NA,NA,27,-154.7,0.8,""
"93","RB_ARBR_AA",140901,"Red Butte",3.64,-9,"FPOM","Red Butte","Sep","3.83","-26.84",24,-150.5,0.8,""
"97","RB_CG_BA",140901,"Red Butte",5.33,-7.45,"FPOM","Red Butte","Sep",NA,NA,25,-164.4,1.2,""
"102","RB_FD_AA",140901,"Red Butte",4.99,-7.75,"FPOM","Red Butte","Sep","3.52","-28.16",9,-126.9,0.9,""
"105","RB_KF_BA",140901,"Red Butte",4.48,-7.43,"FPOM","Red Butte","Sep","5.025","-27.23",22,-170.7,0.9,""
"109","RB_RBG_BA",140901,"Red Butte",3.50333333333333,-10.1633333333333,"FPOM","Red Butte","Sep",NA,NA,23,-169,0.9,""
"112","RB_TM",140901,"Red Butte",4.37,-9.57,"FPOM","Red Butte","Sep","4.34","-27.28",37,-148.5,2.7,""
"92","RB_900W_BA",141118,"Red Butte",9.35,-2.73,"FPOM","Red Butte","Nov","submitted","submitted",57,-151.4,1.4,"small peak/no material left"
"95","RB_ARBR_AA",141118,"Red Butte",13.11,23.25,"FPOM","Red Butte","Nov","submitted","submitted",54,-170.8,1.3,""
"99","RB_CG_BA",141118,"Red Butte",8.16,27.72,"FPOM","Red Butte","Nov","submitted","submitted",56,-132.8,0.8,"small peak/no material left"
"107","RB_KF_BA",141118,"Red Butte",4.87,-6.41,"FPOM","Red Butte","Nov","submitted","submitted",52,-160.2,2.9,"small peak/no material left"
"110","RB_RBG_BA",141118,"Red Butte",5.32,-3.18,"FPOM","Red Butte","Nov","submitted","submitted",55,-168,1.2,"small peak/no material left"
"115","RB_TM",141118,"Red Butte",9.92,11.3,"FPOM","Red Butte","Nov","submitted","submitted",53,-172.9,1.6,""
