"","X.1","Endmember","Site.ID","NumericDate","Watershed.x","d15N","d13C","X","SampleID","dD","PerH","Comments","Sample.ID","Month","Watershed.y","TrayName"
"30",28,"DOM","RB_FD_AA",140901,"Red Butte","3.41","-27.09",15,155,-100.4,1.2,"",155,"Sep","Red Butte","15-Apr-15"
"31",29,"DOM","RB_KF_BA",140901,"Red Butte","6.78","-24.72",10,150,-135.9,0.9,"",150,"Sep","Red Butte","15-Apr-15"
"32",30,"DOM","RB_RBG_BA",140901,"Red Butte","3.63","-28.18",12,152,-109,1,"",152,"Sep","Red Butte","15-Apr-15"
"33",31,"DOM","RB_TM",140901,"Red Butte","8.03","-25.26",11,151,-147.4,0.8,"",151,"Sep","Red Butte","15-Apr-15"
"34",34,"FPOM","1700",140910,"Jordan","7.065","-22.52",60,35,-162.1,0.8,"",35,"Sep","Jordan","15-Apr-15"
"35",35,"FPOM","2300",140912,"Jordan","7.09","-17.7",57,32,-159.7,0.9,"",32,"Sep","Jordan","15-Apr-15"
"36",36,"FPOM","3300",140912,"Jordan","5.595","-23.495",56,31,-162.7,0.8,"",31,"Sep","Jordan","15-Apr-15"
"37",37,"FPOM","5400",140910,"Jordan","9.95","-25.86",55,30,-167.4,0.8,"",30,"Sep","Jordan","15-Apr-15"
"38",38,"FPOM","7800",140910,"Jordan","5.645","-21.85",54,29,-168.5,0.7,"",29,"Sep","Jordan","15-Apr-15"
"39",44,"FPOM","MillDown",140912,"Jordan","6.58","-23.69",58,33,-119.3,2.2,"small peak/no material left",33,"Sep","Jordan","15-Apr-15"
"40",45,"FPOM","MillUp",140912,"Jordan","7.51","-23.54",59,34,-161.8,1.1,"",34,"Sep","Jordan","15-Apr-15"
"41",61,"FPOM","Ulake",140910,"Jordan","9.433333333","-9.923333333",53,28,-165.6,0.6,"",28,"Sep","Jordan","15-Apr-15"
"42",39,"FPOM","Cudahy",140912,NA,NA,NA,61,36,-158.5,0.9,"",36,"Sep","Jordan","15-Apr-15"
"43",40,"FPOM","LR_HWY252",140913,"Logan","5.4","-28.27",38,13,-175.5,1.1,"small peak/no material left",13,"Sep","Logan","15-Apr-15"
"44",41,"FPOM","LR_Mendon_AA",140904,"Logan","7.58","-29.03",37,12,-202,1.2,"small peak/no material left",12,"Sep","Logan","15-Apr-15"
"45",42,"FPOM","LR_TonyGrove_BA",140904,"Logan","3.82","-28.67",35,10,-204.6,1.5,"small peak/no material left",10,"Sep","Logan","15-Apr-15"
"46",43,"FPOM","LR_WaterLab_AA",140904,NA,NA,NA,36,11,-169.1,0.8,"small peak/no material left",11,"Sep","Logan","15-Apr-15"
"47",62,"FPOM","PR_CanyonViewPark",140903,NA,NA,NA,46,21,-145,1.4,"small peak/no material left",21,"Sep","Provo","15-Apr-15"
"48",46,"FPOM","PR_BJ_AA",140903,"Provo","4.89","-28.17",40,15,-138.2,1.5,"small peak/no material left",15,"Sep","Provo","15-Apr-15"
"49",47,"FPOM","PR_CH_AA",140903,"Provo","4.88","-27.02",41,16,-185.9,1.9,"",16,"Sep","Provo","15-Apr-15"
"50",48,"FPOM","PR_LM_BA",140903,"Provo","5.44","-25.77",42,17,-169.2,0.8,"small peak/no material left",17,"Sep","Provo","15-Apr-15"
"51",49,"FPOM","PR_SnakeCreekRR",140903,"Provo","6.995","-28.435",44,19,-149.6,1.1,"small peak/no material left",19,"Sep","Provo","15-Apr-15"
